author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,text
1357368384934051842,2021-07-14 06:58:33+00:00,1415204049838874626,en,1,1,2,1,"@BabyDogeCoin @elonmusk There are a ton of rug pulls out there and you want to give @BabyDogeCoin a hard time about a video?  Daddydoge could be a rug…think about it.  Also…the entire crypto market is down for the most part so chill, and correction is healthy.  A substantial burn would be nice also."
54617733,2021-07-13 01:44:39+00:00,1414762665566691333,en,15604,179,107,4056,"If only people would invoke my father to:

Eradicate racism, militarism &amp; poverty

Ensure just, equitable housing &amp; lending practices

Provide livable wages

End healthcare disparities

Prevent voter suppression

Work for true peace, which includes justice. https://t.co/3nibEkj34b"
19739126,2021-07-12 21:40:57+00:00,1414701336520798219,en,5435,2657,11483,1201,Critical Race Theory goes against everything Martin Luther King Jr. taught us—to not judge others by the color of their skin. The Left is trying to take America backward. https://t.co/ZUx9Wu319Q
1294626685405417478,2021-07-11 07:11:00+00:00,1414120019269619717,en,1584,32,46,236,this is heartbreaking 💔 im sorry but im legit crying rn...
1410537219224489986,2021-07-09 17:18:19+00:00,1413548080289419265,en,5,1,1,1,I WANT TO STRANGLE MYSELF WITH THAT RIBBON https://t.co/cyDyPQB88z
19689545,2021-07-09 12:09:34+00:00,1413470379226525700,en,372,40,12,86,i think what the dodgers are doing is actually not good. hear me out: https://t.co/ZcnOlSB41O
224959488,2021-04-11 21:25:57+00:00,1381357877709836290,en,4,1,4,0,"Just left Bassett and saw like 50 people sporting crocs. 

I need somebody to tell me it’s going to be alright 😔"
1261174278835195904,2021-07-06 17:10:08+00:00,1412458858300203013,en,12,1,13,1,Reply for me to draw your icon REALLY REALLY poorly bcs I can’t draw for shit
1013891931464785920,2021-06-28 14:08:40+00:00,1409514085733990404,en,2,1,0,0,"Yyyyyup, big DLC comeback mechanics, am I right everybody? 🙃 https://t.co/5bwNvSoNff"
757862089,2021-07-03 18:22:37+00:00,1411389933894438913,en,101,3,18,20,"In my op-ed for @siadvance, I write that the tide is turning, the pendulum is swinging back &amp; public opinion in NYC is seemingly returning to the side of the NYPD and law &amp; order. Now let’s restore commonsense policies. @NYCPBA @NYCPDDEA @SBANYPD @lbanypd https://t.co/O2C15bFMMQ"
1274690550,2021-07-03 14:37:07+00:00,1411333185141497860,en,4749,47,128,1580,Likewise PM @narendramodi should ask @Pontifex to come to India to apologize for the Massacre and horror of the Goa Inquisition and the Massive  killing of Konkanis @AmitShah @ShefVaidya @PrinceArihan @republic @TimesNow https://t.co/if8lIjcpwm
1070179749106876417,2021-07-01 23:18:21+00:00,1410739581603880961,en,905,47,180,19,WHEN WILL THIS END? Gabbie Hanna releases video discussing her phone call with Jessi Smiles. https://t.co/OsQP360ZvE
950093577224380417,2021-05-30 05:26:04+00:00,1398873321333215234,en,7,1,0,3,"$MJWL Cause hey, ya never know 🤷‍♂️ https://t.co/gcWoBOUi4X"
1389741252501979138,2021-06-28 05:42:21+00:00,1409386668906405888,en,0,1,0,0,"When Sylvie turns out not to be Loki's love interest I will, in fact, make fun of y'all every single time I remember it"
1190367068262002688,2021-05-23 05:05:58+00:00,1396331547058315267,en,1,1,1,0,"Two questions

1) What’s the worst state in the US?
2) Why did you say Montana?

Jokes ofc 😂😂"
2557521,2021-06-26 03:54:07+00:00,1408634653808939010,en,4215,932,514,443,Chugged a beer out of his shoe 😳 https://t.co/jPjTzlYN2b
194878335,2021-06-25 16:37:38+00:00,1408464413443690496,en,8,1,5,0,"I'm sorry that I betrayed all of your trust, that was not my intention. The Heron painting was a collaborative piece that @c3rmenDraws. We have discussed what to be done and I'll be removing the posts and reworking the piece. Thank you for your patience and understanding."
10222202,2021-06-24 22:14:15+00:00,1408186735486406659,en,495,315,316,144,Add Perez Hilton to the growing list of celebrities who are reassessing — and apologizing for — how they’ve treated pop star Britney Spears over the years. https://t.co/P6UfAOk5i6
41646662,2021-06-21 16:39:04+00:00,1407015222804566017,en,1635,212,100,202,"The Chicago #WhiteSox, looking for a replacement for 2B Nick Madrigal, are engaged in trade talks with the #Dbacks for Eduardo Escobar, who's being shopped. Escobar, who's earning $7.5M in the final year of his contract, is hitting .240 with 15 homers, 45 RBI with a .743 OPS."
3164848681,2021-06-18 02:29:52+00:00,1405714349549789185,en,100,3,16,6,"me and alex did a photoshoot for my bday last month, heres some of my favs &lt;3 https://t.co/zqK4MK9isF"
252801689,2021-06-17 20:53:32+00:00,1405629709405261828,en,1307,30,38,153,"So the botched Porzingis trade by Mark Cuban has cost Don Nelson and Rick Carlisle(stepped down) their jobs…

Meanwhile, Julius Randle is an All Star and All NBA 2nd Teamer for the Knicks and his coach won Coach of the Year…

It is ok to apologize for the slander"
25365699,2021-06-17 13:53:55+00:00,1405524107706339338,en,3,1,1,0,Here’s @brotherjones_ asking @tngop to think harder and more prayerfully about what they’re legislating. He risks his own life and livelihood when he respects them enough to believe and hope they don’t ultimately want him silenced and killed. https://t.co/wIV6b3QhMp
40275574,2021-06-16 08:18:24+00:00,1405077284457959427,en,64,34,7,17,"""She could have emailed or texted..."" 

Well, eventually she did. She emailed twice. But you were more interested in keeping receipts for a future article about her than you were in a conversation. Talk about people talking about kindness but unable to show it."
32312179,2021-06-15 00:33:16+00:00,1404597840886829056,en,25,29,31,10,"Former Green Party MP Jenica Atwin changes position on Israel to align with Liberals /via @MariekeWalsh  @ianabailey 
https://t.co/xuQJqnsWZ8 #cdnpoli"
1242698547339771904,2021-06-13 23:05:22+00:00,1404213333096427522,en,34022,651,32,5497,"mom: be home by 12

My drunk ass at 4am: somebody open dis fuckin door"
